id, slow, low_cpu, hk, ratio_mined
0, False, True, 0.01818181818181818, 0.011695906432748537
1, True, True, 0.01818181818181818, 0.011695906432748537
2, False, True, 0.01818181818181818, 0.029239766081871343
3, True, False, 0.18181818181818182, 0.14035087719298245
4, True, True, 0.01818181818181818, 0.011695906432748537
5, False, True, 0.01818181818181818, 0.005847953216374269
6, False, False, 0.18181818181818182, 0.1871345029239766
7, True, False, 0.18181818181818182, 0.13450292397660818
8, False, False, 0.18181818181818182, 0.27485380116959063
9, False, False, 0.18181818181818182, 0.24561403508771928
